Temperature Anomaly,Month,Hemisphere,Year
-0.26,Oct,Global,1/1/1920
-0.21,Sep,Global,1/1/1920
-0.29,Apr,Global,1/1/1921
-0.25,Aug,Global,1/1/1921
-0.17,Dec,Global,1/1/1921
-0.17,Feb,Global,1/1/1921
-0.04,Jan,Global,1/1/1921
-0.14,Jul,Global,1/1/1921
-0.27,Jun,Global,1/1/1921
-0.22,Mar,Global,1/1/1921
-0.3,May,Global,1/1/1921
-0.13,Nov,Global,1/1/1921
-0.03,Oct,Global,1/1/1921
-0.19,Sep,Global,1/1/1921
-0.22,Apr,Global,1/1/1922
-0.32,Aug,Global,1/1/1922
-0.18,Dec,Global,1/1/1922
-0.44,Feb,Global,1/1/1922
-0.32,Jan,Global,1/1/1922
-0.27,Jul,Global,1/1/1922
-0.3,Jun,Global,1/1/1922
-0.14,Mar,Global,1/1/1922
-0.33,May,Global,1/1/1922
-0.14,Nov,Global,1/1/1922
-0.32,Oct,Global,1/1/1922
-0.35,Sep,Global,1/1/1922
-0.4,Apr,Global,1/1/1923
-0.32,Aug,Global,1/1/1923
-0.04,Dec,Global,1/1/1923
-0.39,Feb,Global,1/1/1923
-0.27,Jan,Global,1/1/1923
-0.3,Jul,Global,1/1/1923
-0.28,Jun,Global,1/1/1923
-0.33,Mar,Global,1/1/1923
-0.33,May,Global,1/1/1923
-0.02,Nov,Global,1/1/1923
-0.13,Oct,Global,1/1/1923
-0.31,Sep,Global,1/1/1923
-0.3,Apr,Global,1/1/1924
-0.35,Aug,Global,1/1/1924
-0.42,Dec,Global,1/1/1924
-0.23,Feb,Global,1/1/1924
-0.22,Jan,Global,1/1/1924
-0.28,Jul,Global,1/1/1924
-0.25,Jun,Global,1/1/1924
-0.08,Mar,Global,1/1/1924
-0.18,May,Global,1/1/1924
-0.2,Nov,Global,1/1/1924
-0.35,Oct,Global,1/1/1924
-0.32,Sep,Global,1/1/1924
-0.25,Apr,Global,1/1/1925
-0.19,Aug,Global,1/1/1925
0.07,Dec,Global,1/1/1925
-0.4,Feb,Global,1/1/1925
-0.38,Jan,Global,1/1/1925
-0.26,Jul,Global,1/1/1925
-0.32,Jun,Global,1/1/1925
-0.27,Mar,Global,1/1/1925
-0.28,May,Global,1/1/1925
0.05,Nov,Global,1/1/1925
-0.16,Oct,Global,1/1/1925
-0.19,Sep,Global,1/1/1925
-0.12,Apr,Global,1/1/1926
-0.13,Aug,Global,1/1/1926
-0.29,Dec,Global,1/1/1926
0.03,Feb,Global,1/1/1926
0.21,Jan,Global,1/1/1926
-0.27,Jul,Global,1/1/1926
-0.25,Jun,Global,1/1/1926
0.11,Mar,Global,1/1/1926
-0.23,May,Global,1/1/1926
-0.06,Nov,Global,1/1/1926
-0.11,Oct,Global,1/1/1926
-0.14,Sep,Global,1/1/1926
-0.3,Apr,Global,1/1/1927
-0.24,Aug,Global,1/1/1927
-0.33,Dec,Global,1/1/1927
-0.18,Feb,Global,1/1/1927
-0.27,Jan,Global,1/1/1927
-0.18,Jul,Global,1/1/1927
-0.27,Jun,Global,1/1/1927
-0.38,Mar,Global,1/1/1927
-0.25,May,Global,1/1/1927
-0.05,Nov,Global,1/1/1927
-0.01,Oct,Global,1/1/1927
-0.12,Sep,Global,1/1/1927
-0.27,Apr,Global,1/1/1928
-0.22,Aug,Global,1/1/1928
-0.16,Dec,Global,1/1/1928
-0.09,Feb,Global,1/1/1928
-0.01,Jan,Global,1/1/1928
-0.19,Jul,Global,1/1/1928
-0.38,Jun,Global,1/1/1928
-0.25,Mar,Global,1/1/1928
-0.29,May,Global,1/1/1928
-0.09,Nov,Global,1/1/1928
-0.19,Oct,Global,1/1/1928
-0.21,Sep,Global,1/1/1928
-0.41,Apr,Global,1/1/1929
-0.32,Aug,Global,1/1/1929
-0.54,Dec,Global,1/1/1929
-0.58,Feb,Global,1/1/1929
-0.44,Jan,Global,1/1/1929
-0.36,Jul,Global,1/1/1929
-0.43,Jun,Global,1/1/1929
-0.32,Mar,Global,1/1/1929
-0.38,May,Global,1/1/1929
-0.1,Nov,Global,1/1/1929
-0.14,Oct,Global,1/1/1929
-0.25,Sep,Global,1/1/1929
-0.25,Apr,Global,1/1/1930
-0.15,Aug,Global,1/1/1930
-0.05,Dec,Global,1/1/1930
-0.26,Feb,Global,1/1/1930
-0.29,Jan,Global,1/1/1930
-0.21,Jul,Global,1/1/1930
-0.22,Jun,Global,1/1/1930
-0.1,Mar,Global,1/1/1930
-0.24,May,Global,1/1/1930
0.18,Nov,Global,1/1/1930
-0.12,Oct,Global,1/1/1930
-0.15,Sep,Global,1/1/1930
-0.23,Apr,Global,1/1/1931
-0.04,Aug,Global,1/1/1931
-0.05,Dec,Global,1/1/1931
-0.21,Feb,Global,1/1/1931
-0.1,Jan,Global,1/1/1931
-0.03,Jul,Global,1/1/1931
-0.08,Jun,Global,1/1/1931
-0.1,Mar,Global,1/1/1931
-0.19,May,Global,1/1/1931
-0.05,Nov,Global,1/1/1931
0.05,Oct,Global,1/1/1931
-0.07,Sep,Global,1/1/1931
-0.06,Apr,Global,1/1/1932
-0.22,Aug,Global,1/1/1932
-0.26,Dec,Global,1/1/1932
-0.17,Feb,Global,1/1/1932
0.15,Jan,Global,1/1/1932
-0.25,Jul,Global,1/1/1932
-0.29,Jun,Global,1/1/1932
-0.18,Mar,Global,1/1/1932
-0.17,May,Global,1/1/1932
-0.27,Nov,Global,1/1/1932
-0.09,Oct,Global,1/1/1932
-0.11,Sep,Global,1/1/1932
-0.24,Apr,Global,1/1/1933
-0.24,Aug,Global,1/1/1933
-0.44,Dec,Global,1/1/1933
-0.29,Feb,Global,1/1/1933
-0.23,Jan,Global,1/1/1933
-0.21,Jul,Global,1/1/1933
-0.34,Jun,Global,1/1/1933
-0.3,Mar,Global,1/1/1933
-0.29,May,Global,1/1/1933
-0.31,Nov,Global,1/1/1933
-0.25,Oct,Global,1/1/1933
-0.29,Sep,Global,1/1/1933
-0.3,Apr,Global,1/1/1934
-0.12,Aug,Global,1/1/1934
-0.02,Dec,Global,1/1/1934
-0.02,Feb,Global,1/1/1934
-0.21,Jan,Global,1/1/1934
-0.1,Jul,Global,1/1/1934
-0.14,Jun,Global,1/1/1934
-0.29,Mar,Global,1/1/1934
-0.09,May,Global,1/1/1934
0.04,Nov,Global,1/1/1934
-0.07,Oct,Global,1/1/1934
-0.15,Sep,Global,1/1/1934
-0.36,Apr,Global,1/1/1935
-0.21,Aug,Global,1/1/1935
-0.17,Dec,Global,1/1/1935
0.14,Feb,Global,1/1/1935
-0.33,Jan,Global,1/1/1935
-0.21,Jul,Global,1/1/1935
-0.27,Jun,Global,1/1/1935
-0.14,Mar,Global,1/1/1935
-0.29,May,Global,1/1/1935
-0.26,Nov,Global,1/1/1935
-0.06,Oct,Global,1/1/1935
-0.21,Sep,Global,1/1/1935
-0.2,Apr,Global,1/1/1936
-0.13,Aug,Global,1/1/1936
-0.01,Dec,Global,1/1/1936
-0.38,Feb,Global,1/1/1936
-0.27,Jan,Global,1/1/1936
-0.1,Jul,Global,1/1/1936
-0.21,Jun,Global,1/1/1936
-0.21,Mar,Global,1/1/1936
-0.16,May,Global,1/1/1936
0.01,Nov,Global,1/1/1936
